from,to,cost
1201076,1216152,11497.6
1201076,1216161,11919.2
1201076,1216170,12711.9
1201076,1219081,7279.4
1201076,1219099,7431.4
1201087,1201054,9528.9
1201087,1201066,6778.7
1201087,1201076,5455.5
1201087,1201087,0.0
1201087,1201100,4248.6
1201087,1201112,7013.5
1201087,1201118,7774.2
1201087,1201125,4049.4
1201087,1201159,7087.7
1201087,1201171,9313.1
1201087,1201185,8422.5
1201087,1201211,8747.9
1201087,1201222,9856.6
1201087,1204521,10497.2
1201087,1204538,8749.1
1201087,1204552,8498.3
1201087,1204559,9310.7
1201087,1204565,7328.3
1201087,1204571,10386.9
1201087,1204577,7002.1
1201087,1204586,7905.2
1201087,1204607,5315.0
1201087,1204615,9445.5
1201087,1204621,4953.7
1201087,1204632,7183.6
1201087,1204638,6437.3
1201087,1204643,4350.9
1201087,1204650,3239.9
1201087,1204665,3024.5
1201087,1204672,7775.1
1201087,1204682,8185.0
1201087,1204688,9791.0
1201087,1204697,8934.4
1201087,1204699,2573.6
1201087,1204703,10053.8
1201087,1204716,10522.6
1201087,1204731,4473.8
1201087,1204737,10246.7
1201087,1204750,4749.0
1201087,1204761,9374.1
1201087,1204766,5005.3
1201087,1204787,5883.8
1201087,1204808,6033.7
1201087,1204816,8107.8
1201087,1204825,6256.5
1201087,1204861,7266.6
1201087,1204924,8773.3
1201087,1204937,9142.9
1201087,1204950,10070.1
1201087,1209059,7777.1
1201087,1209076,10379.3
1201087,1209091,9503.3
1201087,1209092,4771.0
1201087,1209161,8836.2
1201087,1209162,5441.9
1201087,1209176,6095.0
1201087,1209178,8176.9
1201087,1209189,9956.0
1201087,1209632,10124.9
1201087,1210543,10326.1
1201087,1210551,10170.0
1201087,1210560,10351.3
1201087,1210583,10528.4
1201087,1210599,8604.6
1201087,1210600,8870.2
1201087,1210601,8902.6
1201087,1210609,9437.5
1201087,1210610,9680.3
1201087,1210618,9719.8
1201087,1211066,10331.1
1201087,1211716,10366.3
1201087,1211717,9666.6
1201087,1211724,9022.3
1201087,1211731,8514.1
1201087,1211740,8057.8
1201087,1211750,7680.9
1201087,1211760,6939.1
1201087,1211770,6466.3
1201087,1211784,5826.8
1201087,1213527,8726.3
1201087,1213528,5971.9
1201087,1213699,9555.6
1201087,1213963,6740.8
1201087,1213968,7524.6
1201087,1216018,10160.0
1201087,1219081,5488.1
1201087,1219099,4429.2
1201100,1201054,8097.4
1201100,1201066,3599.0
1201100,1201076,3810.8
1201100,1201087,3899.5
1201100,1201100,0.0
1201100,1201112,3644.6
1201100,1201118,4405.2
1201100,1201125,398.5
1201100,1201145,6953.3
1201100,1201159,3436.7
1201100,1201171,5662.1
1201100,1201185,4771.5
1201100,1201211,5096.9
1201100,1201217,9569.3
1201100,1201222,6205.7
1201100,1201240,8293.0
1201100,1201254,7458.5
1201100,1201283,7721.1
1201100,1201298,8500.8
1201100,1201333,9565.3
1201100,1201365,9853.3
1201100,1204607,9214.7
1201100,1204621,8853.4
1201100,1204638,10336.9
1201100,1204643,8250.6
1201100,1204650,7139.5
1201100,1204665,6924.2
1201100,1204688,6422.1
1201100,1204699,6473.2
1201100,1204716,9091.2
1201100,1204731,8373.4
1201100,1204737,8815.3
1201100,1204750,8648.6
1201100,1204761,7942.7
1201100,1204766,4613.2
1201100,1204787,6536.9
1201100,1204798,10680.0
1201100,1204808,5641.5
1201100,1204816,6676.4
1201100,1204825,5864.3
1201100,1204841,9686.6
1201100,1204861,6133.8
1201100,1204869,9217.6
1201100,1204924,7640.5
1201100,1204937,8009.6
1201100,1204950,8937.3
1201100,1204982,10057.7
1201100,1205012,10555.3
1201100,1209059,4126.2
1201100,1209070,9041.6
1201100,1209076,6728.3
1201100,1209091,5852.3
1201100,1209092,1120.1
1201100,1209161,5185.2
1201100,1209162,1791.0
1201100,1209176,2444.0
1201100,1209178,4525.9
1201100,1209189,6305.0
1201100,1210599,10127.0
1201100,1210600,10037.6
1201100,1210601,10425.1
1201100,1210609,8709.6
1201100,1210610,8716.9
1201100,1210618,9355.1
1201100,1210729,10542.4
1201100,1210737,10707.2
1201100,1210745,10947.4
1201100,1211276,10789.2
1201100,1211653,10680.3
1201100,1211663,10378.3
1201100,1211682,9894.1
1201100,1211692,9337.5
1201100,1211706,8982.9
1201100,1211716,8865.5
1201100,1211717,8165.8
1201100,1211724,7521.6
1201100,1211725,9506.6
1201100,1211731,7013.4
1201100,1211732,10013.6
1201100,1211740,6557.0
1201100,1211741,10477.6
1201100,1211750,6180.1
1201100,1211752,10852.9
1201100,1211760,5438.4
1201100,1211770,4821.6
1201100,1211784,4182.0
1201100,1211853,10265.7
1201100,1213528,9871.5
1201100,1213963,3089.9
1201100,1213968,3873.6
1201100,1219081,3361.1
1201100,1219099,3513.1
1201112,1201054,9783.8
1201112,1201066,7033.6
1201112,1201076,5710.4
1201112,1201087,254.8
1201112,1201100,4503.5
1201112,1201112,0.0
1201112,1201118,760.5
1201112,1201125,4304.3
1201112,1201159,7342.6
1201112,1201171,9568.0
1201112,1201185,8677.4
1201112,1201211,9002.8
1201112,1201222,10111.5
1201112,1204538,9004.0
1201112,1204552,8753.3
1201112,1204559,9565.7
1201112,1204565,7583.3
1201112,1204577,7257.1
1201112,1204586,8160.2
1201112,1204607,5570.0
1201112,1204615,9700.4
1201112,1204621,5208.7
1201112,1204632,7438.5
1201112,1204638,6692.2
1201112,1204643,4605.9
1201112,1204650,3494.8
1201112,1204665,3279.5
1201112,1204672,8030.0
1201112,1204682,8439.9
1201112,1204688,2777.4
1201112,1204697,9189.3
1201112,1204699,2828.5
1201112,1204716,10777.6
1201112,1204731,4728.7
1201112,1204737,10501.7
1201112,1204750,5003.9
1201112,1204761,9629.1
1201112,1204766,5260.3
1201112,1204787,6138.7
1201112,1204808,6288.6
1201112,1204816,8362.8
1201112,1204825,6511.4
1201112,1204861,7521.5
1201112,1204924,9028.2
1201112,1204937,9397.8
1201112,1204950,10325.0
1201112,1209059,8032.1
1201112,1209076,10634.2
1201112,1209091,9758.2
1201112,1209092,5026.0
1201112,1209161,9091.1
1201112,1209162,5696.9
1201112,1209176,6349.9
1201112,1209178,8431.8
1201112,1209189,10210.9
1201112,1210599,8859.5
1201112,1210600,9125.1
1201112,1210601,9157.6
1201112,1210609,9692.4
1201112,1210610,9935.3
1201112,1210618,9974.7
1201112,1211717,9921.5
1201112,1211724,9277.3
1201112,1211731,8769.1
1201112,1211740,8312.7
1201112,1211750,7935.8
1201112,1211760,7194.1
1201112,1211770,6721.2
1201112,1211784,6081.7
1201112,1213527,8981.2
1201112,1213528,6226.8
1201112,1213699,9810.5
1201112,1213963,6995.8
1201112,1213968,7779.5
1201112,1219081,5743.0
1201112,1219099,4684.1
1201118,1201118,0.0
1201118,1204507,10388.7
1201118,1204521,10011.4
1201118,1204538,8263.3
1201118,1204552,8012.6
1201118,1204559,8825.0
1201118,1204565,6842.5
1201118,1204571,9901.1
1201118,1204577,6516.4
1201118,1204586,7423.8
1201118,1204607,4833.6
1201118,1204615,8964.0
1201118,1204621,4466.7
1201118,1204632,7067.6
1201118,1204638,7395.7
1201118,1204643,3863.9
1201118,1204650,2759.7
1201118,1204665,2537.5
1201118,1204672,8733.5
1201118,1204682,9143.4
1201118,1204688,2016.5
1201118,1204697,9892.8
1201118,1204699,9305.5
1201118,1210599,9665.3
1201118,1210600,9930.9
1201118,1210601,9963.3
1201118,1213527,8244.8
1201118,1213528,5486.1
1201118,1213699,9069.8
1201118,1219099,10247.6
1201125,1201054,7698.8
1201125,1201066,3200.4
1201125,1201076,3412.1
1201125,1201087,3500.9
1201125,1201100,7749.6
1201125,1201112,3246.0
1201125,1201118,4006.6
1201125,1201125,0.0
1201125,1201145,6554.7
1201125,1201159,3038.1
1201125,1201171,5263.5
1201125,1201185,4372.9
1201125,1201197,10274.4
1201125,1201211,4698.3
1201125,1201217,9170.7
1201125,1201222,5807.1
1201125,1201240,7894.4
1201125,1201254,7059.9
1201125,1201283,7322.5
1201125,1201298,8102.2
1201125,1201315,9989.8
1201125,1201333,9166.7
1201125,1201365,9454.7
1201125,1201399,10598.5
1201125,1204577,10503.2
1201125,1204607,8816.1
1201125,1204621,8454.8
1201125,1204638,9938.3
1201125,1204643,7852.0
1201125,1204650,6740.9
1201125,1204665,6525.6
1201125,1204688,6023.5
1201125,1204695,10591.0
1201125,1204699,6074.6
1201125,1204701,10370.4
1201125,1204716,8692.6
1201125,1204731,7974.8
1201125,1204737,8416.7
1201125,1204750,8250.0
1201125,1204761,7544.1
1201125,1204766,4214.6
1201125,1204787,6138.3
1201125,1204798,10281.4
1201125,1204808,5242.9
1201125,1204816,6277.8
1201125,1204825,5465.7
1201125,1204841,9288.0
1201125,1204861,5735.2
1201125,1204869,8819.0
1201125,1204924,7241.9
1201125,1204937,7611.0
1201125,1204950,8538.7
1201125,1204982,9659.1
1201125,1205012,10156.7
1201125,1209059,3727.6
1201125,1209070,8643.0
1201125,1209076,6329.7
1201125,1209091,5453.7
1201125,1209092,721.5
1201125,1209161,4786.6
1201125,1209162,1392.4
1201125,1209176,2045.4
1201125,1209178,4127.3
1201125,1209189,5906.4
1201125,1210599,9728.4
1201125,1210600,9639.0
1201125,1210601,10026.5
1201125,1210609,8311.0
1201125,1210610,8318.3
1201125,1210618,8956.5
1201125,1210729,10143.8
1201125,1210737,10308.6
1201125,1210745,10548.8
1201125,1211276,10390.5
1201125,1211653,10281.7
1201125,1211663,9979.7
1201125,1211682,9495.5
1201125,1211692,8938.9
1201125,1211706,8584.3
1201125,1211716,8466.9
1201125,1211717,7767.2
1201125,1211724,7123.0
1201125,1211725,9108.0
1201125,1211731,6614.8
1201125,1211732,9615.0
1201125,1211740,6158.4
1201125,1211741,10079.0
1201125,1211750,5781.5
1201125,1211752,10454.3
1201125,1211760,5039.8
1201125,1211770,4423.0
1201125,1211784,3783.4
1201125,1211853,9867.1
1201125,1213528,9472.9
1201125,1213963,2691.3
1201125,1213968,3475.0
1201125,1219081,2962.5
1201125,1219099,3114.5
1201145,1201054,8417.2
1201145,1201066,3299.2
1201145,1201076,3511.0
1201145,1201087,3596.2
1201145,1201100,7844.8
1201145,1201112,3341.2
1201145,1201118,4101.9
1201145,1201125,4344.6
1201145,1201145,0.0
1201145,1201159,6034.2
1201145,1201171,8114.8
1201145,1201185,7224.2
1201145,1201211,7549.7
1201145,1201222,8658.4
1201145,1201254,9911.2
1201145,1201283,10173.8
1201145,1204577,10598.4
1201145,1204607,8911.3
1201145,1204621,8550.0
1201145,1204638,10033.5
1201145,1204643,7947.2
1201145,1204650,6836.2
1201145,1204665,6620.8
1201145,1204688,6118.7
1201145,1204699,6169.8
1201145,1204716,9411.0
1201145,1204731,8070.0
1201145,1204737,9135.1
1201145,1204750,8345.2
1201145,1204761,8262.5
1201145,1204766,4313.4
1201145,1204787,6237.2
1201145,1204798,10691.7
1201145,1204808,5341.8
1201145,1204816,6996.2
1201145,1204825,5564.6
1201145,1204841,9698.3
1201145,1204861,5834.1
1201145,1204869,9229.3
1201145,1204924,7340.7
1201145,1204937,7709.9
1201145,1204950,8637.6
1201145,1204982,9757.9
1201145,1205012,10255.6
1201145,1209059,6578.9
1201145,1209076,9181.1
1201145,1209091,2354.3
1201145,1209092,5066.2
1201145,1209161,1687.1
1201145,1209162,5737.1
1201145,1209176,5041.6
1201145,1209178,1027.9
1201145,1209189,8757.7
1201145,1210599,10031.6
1201145,1210600,9942.2
1201145,1210601,10329.6
1201145,1210609,8614.2
1201145,1210610,8621.4
1201145,1210618,9259.7
1201145,1211276,10489.4
1201145,1211653,10380.5
1201145,1211663,10078.5
1201145,1211682,9594.3
1201145,1211692,9037.7
1201145,1211706,8683.1
1201145,1211716,8565.8
1201145,1211717,7866.1
1201145,1211724,7221.8
1201145,1211725,9206.8
1201145,1211731,6713.6
1201145,1211732,9713.8
1201145,1211740,6257.3
1201145,1211741,10177.8
1201145,1211750,5880.3
1201145,1211752,10553.1
1201145,1211760,5138.6
1201145,1211770,4521.8
1201145,1211784,3882.3
1201145,1211853,10585.6
1201145,1213528,9568.2
1201145,1213963,5687.4
1201145,1213968,375.6
1201145,1219081,3265.7
1201145,1219099,3417.7
1201159,1201054,8272.8
1201159,1201066,6815.9
1201159,1201076,6464.6
1201159,1201087,7112.8
1201159,1201112,6857.8
1201159,1201118,7618.5
1201159,1201125,7807.5
1201159,1201145,3516.4
1201159,1201159,0.0
1201159,1201171,2225.3
1201159,1201185,1334.7
1201159,1201197,7236.2
1201159,1201211,1660.1
1201159,1201217,6132.5
1201159,1201222,2768.8
1201159,1201240,4856.2
1201159,1201254,4021.7
1201159,1201270,8776.2
1201159,1201283,4284.2
1201159,1201292,8014.7
1201159,1201298,5064.0
1201159,1201315,6951.6
1201159,1201333,6128.4
1201159,1201350,9744.6
1201159,1201365,6416.5
1201159,1201399,7560.3
1201159,1201419,9251.2
1201159,1201430,8722.6
1201159,1203124,10237.5
1201159,1204643,11463.9
1201159,1204665,10137.5
1201159,1204688,9635.4
1201159,1204699,9686.5
1201159,1204716,9266.5
1201159,1204737,8990.7
1201159,1204761,8118.0
1201159,1204766,6772.4
1201159,1204781,8068.5
1201159,1204787,8558.4
1201159,1204798,7795.9
1201159,1204808,7800.8
1201159,1204816,6851.7
1201159,1204825,8023.6
1201159,1204841,6802.5
1201159,1204861,8569.3
1201159,1204869,6333.4
1201159,1204924,8029.2
1201159,1204937,5808.1
1201159,1204950,9326.0
1201159,1204967,8791.5
1201159,1204982,10446.4
1201159,1205012,8358.3
1201159,1205045,9453.5
1201159,1205071,9733.8
1201159,1209059,689.3
1201159,1209070,5604.8
1201159,1209076,3291.5
1201159,1209091,5870.9
1201159,1209092,7966.7
1201159,1209161,5203.8
1201159,1209162,8637.6
1201159,1209176,7609.4
1201159,1209178,4544.5
1201159,1209189,2868.2
1201159,1209204,8432.8
1201159,1210173,10170.5
1201159,1210446,9428.6
1201159,1210466,10299.6
1201159,1210474,9795.2
1201159,1210504,9337.8
1201159,1210505,10513.2
1201159,1210524,9865.8
1201159,1210525,10010.3
1201159,1210552,9559.3
1201159,1210572,9952.7
1201159,1210669,10424.4
1201159,1210728,10131.5
1201159,1210729,9595.8
1201159,1210736,9899.3
1201159,1210737,9760.5
1201159,1210744,10273.3
1201159,1210745,10000.8
1201159,1211692,10371.3
1201159,1211706,10016.7
1201159,1211716,9408.7
1201159,1211717,9634.1
1201159,1211724,8989.9
1201159,1211725,10049.8
1201159,1211731,8481.7
1201159,1211732,10556.8
1201159,1211740,8025.3
1201159,1211741,11020.7
1201159,1211750,8834.0
1201159,1211752,11396.0
1201159,1211760,8092.2
1201159,1211770,7475.4
1201159,1211784,6835.9
1201159,1211853,10441.1
1201159,1212281,9499.6
1201159,1212292,9778.1
1201159,1212303,9025.6
1201159,1212310,9843.1
1201159,1212455,10134.7
1201159,1213654,8484.5
1201159,1213963,8255.2
1201159,1213968,3892.2
1201159,1214212,9418.7
1201159,1214238,10033.8
1201159,1214239,10037.6
1201159,1214321,9528.8
1201159,1219081,6782.3
1201159,1219099,6934.3
1201171,1201054,6803.6
1201171,1201066,4590.5
1201171,1201076,4790.4
1201171,1201087,4887.5
1201171,1201100,9136.1
1201171,1201112,4632.5
1201171,1201118,5393.2
1201171,1201125,5635.9
1201171,1201145,1291.1
1201171,1201159,2415.9
1201171,1201171,0.0
1201171,1201185,3750.7
1201171,1201197,9652.3
1201171,1201211,4076.2
1201171,1201217,8548.6
1201171,1201222,5184.9
1201171,1201240,7272.2
1201171,1201254,6437.8
1201171,1201283,6700.3
1201171,1201292,10430.8
1201171,1201298,7480.0
1201171,1201315,9367.7
1201171,1201333,8544.5
1201171,1201365,8832.5
1201171,1201399,9976.4
1201171,1204607,10202.6
1201171,1204621,9841.3
1201171,1204643,9238.5
1201171,1204650,8127.5
1201171,1204665,7912.1
1201171,1204688,7410.0
1201171,1204695,9695.7
1201171,1204699,7461.1
1201171,1204701,9475.1
1201171,1204716,7797.3
1201171,1204731,9361.4
1201171,1204737,7521.4
1201171,1204750,9636.6
1201171,1204761,6648.8
1201171,1204766,5169.9
1201171,1204781,9658.7
1201171,1204787,6884.2
1201171,1204798,9386.1
1201171,1204808,6198.3
1201171,1204816,5382.5
1201171,1204825,6421.1
1201171,1204841,8392.7
1201171,1204861,6966.8
1201171,1204869,7923.7
1201171,1204924,6559.9
1201171,1204937,6925.9
1201171,1204950,7856.8
1201171,1204967,9909.3
1201171,1204982,8977.2
1201171,1205012,9474.8
1201171,1209059,3105.4
1201171,1209070,8020.9
1201171,1209076,5707.6
1201171,1209091,3645.6
1201171,1209092,6292.4
1201171,1209161,2978.5
1201171,1209162,6963.3
1201171,1209176,6006.9
1201171,1209178,2319.2
1201171,1209189,642.8
1201171,1210524,10304.6
1201171,1210552,9998.2
1201171,1210572,10391.6
1201171,1210609,9905.5
1201171,1210610,9912.7
1201171,1210629,11135.8
1201171,1210638,10191.2
1201171,1210669,10863.2
1201171,1210728,9127.7
1201171,1210729,8591.9
1201171,1210736,8895.5
1201171,1210737,8756.7
1201171,1210744,9269.5
1201171,1210745,8996.9
1201171,1211276,10482.8
1201171,1211653,10373.9
1201171,1211663,10071.9
1201171,1211682,9587.7
1201171,1211692,9031.1
1201171,1211706,8676.6
1201171,1211716,8068.6
1201171,1211717,9145.5
1201171,1211724,8501.2
1201171,1211725,8709.6
1201171,1211731,7993.0
1201171,1211732,9216.6
1201171,1211740,7536.7
1201171,1211741,9680.6
1201171,1211750,7159.8
1201171,1211752,10055.9
1201171,1211760,6418.0
1201171,1211770,5801.2
1201171,1211784,5161.7
1201171,1211853,8971.9
1201171,1213963,6652.7
1201171,1213968,1666.9
1201171,1219081,4557.0
1201171,1219099,4709.0
1201185,1201145,7517.8
1201185,1201159,8642.6
1201185,1201171,6226.6
1201185,1201185,0.0
1201185,1201197,5901.3
1201185,1201211,325.2
1201185,1201217,4797.6
1201185,1201222,1433.9
1201185,1201240,3521.3
1201185,1201254,2686.8
1201185,1201270,7441.3
1201185,1201283,2949.4
1201185,1201292,6679.8
1201185,1201298,3729.1
1201185,1201315,5616.7
1201185,1201333,4793.5
1201185,1201350,8409.7
1201185,1201365,5081.6
1201185,1201399,6225.4
1201185,1201406,10295.4
1201185,1201419,7916.3
1201185,1201430,7387.7
1201185,1201453,9016.0
1201185,1201481,9289.5
1201185,1203084,9839.7
1201185,1203124,8902.6
1201185,1203148,9168.9
1201185,1203172,9492.4
1201185,1203184,10042.9
1201185,1204937,10427.5
1201185,1204967,9356.2
1201185,1209059,9332.1
1201185,1209070,4269.9
1201185,1209076,1956.6
1201185,1209091,9872.2
1201185,1209161,9205.1
1201185,1209178,8545.8
1201185,1209189,6869.5
1201185,1209204,7097.9
1201185,1210173,8835.6
1201185,1210189,9586.9
1201185,1210446,8641.6
1201185,1210456,10211.5
1201185,1210465,9871.0
1201185,1210466,8964.7
1201185,1210474,9285.1
1201185,1210475,9557.2
1201185,1210489,9988.8
1201185,1210494,10089.8
1201185,1210504,8827.7
1201185,1210505,10288.8
1201185,1210524,9641.4
